ABS-CPH;TECTURA - (tidl. Aston Business Sol;Kopenhagen
ACHM-NL;Achmea Hypotheekbank;'s Hertogenbosch
ACV-SEN;ACV;Seneffe
AEP-BEL;AEP Belgium;Mons (Ghlin)
AES-BRU;Advanced Elastomer Systems/Santopre;Brussels
AGIO-BE;Agio Holland Cigar Company;Geel
AGIO-NL;Agio Sigarenfabrieken N.V.;Duizel
AKZO-AUS;Akzo Nobel Pty Ltd;Brisbane
AKZO-BAD;International Coatings Ltd.;Badalona
AKZO-BAN;International Coatings Ltd.;Bangalore
AKZO-BAO;AKzo Nobel Chang Cheng Coatings;Baoan - Shenzhen
AKZO-BEI;Akzo Nobel Red Lion Powder Ltd;Beijing
AKZO-BEN;Akzo Nobel Powder Coatings GmbH;Bensheim
AKZO-BOC;International Coatings Ltd.;BOCHUM
AKZO-CDX;Cromodex;Gateshead
AKZO-DEC;Akzo Nobel Decorative Coatings Int;Shanghai
AKZO-DEN;International Farvefabrik A/S;Ballerup
AKZO-DUB;International Coatings Ltd.;Dubai
AKZO-EGP;AKZO NOBEL Powder Coatings SAE;Giza
AKZO-EGY;International Coatings Ltd.;Dokki, Giza
AKZO-EL;International Paint Ltd;Tyne & Wear
AKZO-ES;International Coatings Ltd.;Tyne & Wear
AKZO-FE;International Coatings Ltd.;Gateshead
AKZO-FEP;AKzo Nobel Powder Coatings Ltd;Gateshead
AKZO-FIN;Oy International Paint Ab;Helsinki
AKZO-GRE;Akzonobel International Paint;Greece
AKZO-HK;International Coatings Ltd.;Hong Kong
AKZO-HKP;Akzo Nobel Chang Cheng Ltd;Hong Kong
AKZO-ITY;International Minerva;Argenta
AKZO-JAK;PT International Coatings Indonesia;Jakarta
AKZO-KOR;International Paint (Korea) Lts;Anyang POB76-431-600
AKZO-LH;Internationale Peinture SA;Le Havre Cedex
AKZO-MAL;AKzo Nobel Industrial Coatings;Jahore
AKZO-NL;International Coatings Ltd.;Rhoon
AKZO-NOR;International Coatings Ltd.;Kokstad
AKZO-NZ;Akzo Nobel Pty Ltd;Melbourne
AKZO-PNG;Akzo Nobel Pty Ltd;Gerehu NCD
AKZO-POR;Akzo Nobel Coatings;Portugal
AKZO-SAO;International Coatings Ltd.;Sao Paulo
AKZO-SAR;International Coatings Ltd.;Damman
AKZO-SHG;International Paint of Shanghai Ltd;Shanghai
AKZO-SIN;International Paint Singapore Pte;Singapore
AKZO-ST;International Coatings Ltd.;London
AKZO-SUP;Akzo Nobel Chang Cheng Powder;Suzhou
AKZO-SUZ;Akzo Nobel Protective Coatings;Shanghai
AKZO-SWE;International Coatings Ltd.;Angered
AKZO-TF;Technical Formulations Felling;Gateshead
AKZO-THA;Akzo Nobel Coatings Ltd;Nakormpathom
AKZO-TW;International Paint of Taiwan Ltd;Kaohsiung
AKZO-TWP;Akzo Nobel Chang Cheng Powder   Ltd;Taipei
AKZO-UK;International Coatings Ltd.;Tyne & Wear
AKZO-USA;International Coatings Ltd.;Houston, Texas
AKZO-VN;International Coatings Ltd.;Ho Chi Minh City
AKZO-WAU;AKZO Nobel WAU;WAU
AKZO-YAC;Akzo Yacht Dept;YAC
ALCB-HOB;Alcatel Bell Space NV;Hoboken
ALCN-KON;Alcanet International Benelux NV;Antwerp
ALLTELES;Allied Telesyn;-
ANNP-BL;Akzo Nobel Nippon Paint;Barcelona
ANNP-LH;Akzo Nobel Nippon Paint SA;Montivilliers
ANNP-NB;Akzo Nobel Nippon Paint GmbH;Nuremberg
ANNP-ST;Akzo Nobel Nippon Paint;London
ANSUL;Ansul;Groot-Bijgaarden
ANT-EIN;Anteryon;Eindhoven
AO-BELUX;Atos Origin Belgium;Zaventem
AO-CAMB;Atos Origin IT Services;Cambridge
AO-GER;Atos Origin GmbH;Hamburg
AO-HK;Atos Origin (HK) Ltd;Kowloon
AO-HUNG;Atos Origin Hungary;Szekesfehervar
AO-ICA;Atos Origin ICA;Zaventem
AO-MEX;Atos Origin Mexico;Mexico City
AO-MUR;Atos Origin Inc.;Murray Hill
AO-NL-CO;Atos Consulting NV;Utrecht
AO-NL-MO;Atos Origin MO Nederland;Utrecht
AO-NL-SI;Atos Origin Nederland BV;Veldhoven
AO-PAR;Atos Origin France;Suresnes
AO-POL;Atos Origin Poland;Warsaw
AO-PORT;Atos Origin Portugal;Oeiral
AO-QH;Atos Origin QAD Hub;Brussels
AO-SEMA;AO SEMA;Ukkel, Brussel
AO-SHANG;Atos Origin Shanghai;SHANGHAI
AO-SING;Atos Origin/Singapore PTE Ltd;Singapore
AO-SP;Atos Origin Spain;Barcelona
AO-STUT;Atos Origin GmbH;Stuttgart
AO-USA;Atos Origin USA;-
AO-VIEN;Atos Origin Austria GmbH;Wien
AO-Y2000;Atos Origin/IT Systems Mgt;Eindhoven
AUDIT-NL;Support Audit Medical;NL
AVD-BEL;Avery Dennison;Turnhout
AVDE-LEI;AVERY Dennison;LEI
AVM-BIR;ArvinMeritor LVS Birmingham;Birmingham
AVM-DIE;ArvinMeritor LVS France;St. Die
AVM-ESS;ArvinMeritor LVS France;Sully sur Loire
AVM-FRKF;ArvinMeritor  GmbH;Dietzenbach
AVM-HO;ArvinMeritor BV;Hoofddorp
AX-ORL;Axalto Orleans;Orleans
BAK-NL;Bakkersland  BV;Hedel
BEAPHAR;Beaphar;RAALTE
BELT-EIN;Beltone Netherlands BV;Eindhoven
BELT-GER;Beltone Hamburg;Hamburg
BIA-BEL;BIA;Overijse
BMT-BEL;BMT;Boechout
BOB-BEL;Bobst Benelux;Berchem
BON-BEV;ADFIL UK;East Yorkshire
BON-HUN;GEO-TIPPTEX Kft;-
BON-ZEL;Bonar Technical Fabrics;Zele
BOS-REX;Bosch Rexroth Electric Drives & Con;Eindhoven
BOSCH-SS;Bosch Security Systems BV;Eindhoven
BOUS-BRI;Bousfield Ltd;Bristol
BOUS-ETT;Wolstenholme Graphic Industries BV;Etten-Leur
BUL-BEL;Bulo Kantoormeubelen;mechelen
CAMP-UT;Campbell Netherlands BV;Utrecht
CAT-BEL;Caterpillar Logisitics Services;Gosselies
DIAM-BRU;DIAMANT BOART;Ath
DIS-SIT;Dranken Industrie Sittard;Sittard
DLR-DE;DeLaRue GmbH;Moerfelden
DLR-UK;De La Rue Holdings PLC;Basingstoke
DMPSS;D&M PSS Belgium NV;Dendermonde
DRIEMOL;Drie Mollen sinds 1818  B.V.;'s-Hertogenbosch
EMGO;EMGO NV;Lommel
FaFr-INT;Farm Frites International BV;Oudenhoorn
FCI-BAR;FCI Connectors Espana  SA;Barcelona
FCI-FRA;Framatome Connectors SA;Versailles
FCI-TOR;FCI Italia Spa;Torino
FEI-EHV;FEI Electron Optics BV;Eindhoven
FEI-USA;FEI USA;Hillsboro Oregon
FER-BEL;Ferguson Machines Company;Braine le Chateau
FFWE;Friesland Foods Western Europe;Ede
FLUK-EIN;Fluke;Eindhoven
FOI-BEL;Foods International NV;Deurne
FRIJADO;FRIJADO;Breda
FSM-SIT;FSM Europe BV;Sittard
FUCHOSA;FUCHOSA;Atxondo
FUR-BEL;Furon Seals NV;Kontich
GENZ-CEE;GENZYME CEE Konstanz;Konstanz
GENZ-CH;GENZYME CH GmbH;Baar
GENZ-DK;GENZYME;Copenhagen S
GENZ-ES;Genzyme Spain;Madrid
GENZ-EU;Genzyme Europe;Naarden
